usaf,wban,datetime,latitude,longitude,elevation,windAngle,windSpeed,temperature,seaLvlPressure,cloudCoverage,presentWeatherIndicator,pastWeatherIndicator,precipTime,precipDepth,snowDepth,stationName,countryOrRegion,p_k,year,day,version
999999,53878,2008-01-01T15:35:00.0000000,35.419,-82.557,641,,,4,,,,,,,,ASHEVILLE 13 S,US,999999-53878,2008,1,1
999999,53877,2008-01-16T18:35:00.0000000,35.495,-82.614,656,,,4.8,,,,,,,,ASHEVILLE 8 SSW,US,999999-53877,2008,16,1
999999,53877,2008-01-13T20:35:00.0000000,35.495,-82.614,656,,,6.4,,,,,,,,ASHEVILLE 8 SSW,US,999999-53877,2008,13,1
999999,53877,2008-01-07T16:10:00.0000000,35.495,-82.614,656,,,11.7,,,,,,,,ASHEVILLE 8 SSW,US,999999-53877,2008,7,1
999999,53877,2008-01-24T05:40:00.0000000,35.495,-82.614,656,,,-3.7,,,,,,,,ASHEVILLE 8 SSW,US,999999-53877,2008,24,1
999999,53878,2008-01-15T16:55:00.0000000,35.419,-82.557,641,,,0.2,,,,,,,,ASHEVILLE 13 S,US,999999-53878,2008,15,1
999999,53878,2008-01-07T22:50:00.0000000,35.419,-82.557,641,,,15.6,,,,,,,,ASHEVILLE 13 S,US,999999-53878,2008,7,1
999999,53877,2008-01-20T16:35:00.0000000,35.495,-82.614,656,,,-8,,,,,,,,ASHEVILLE 8 SSW,US,999999-53877,2008,20,1
999999,53877,2008-01-02T19:45:00.0000000,35.495,-82.614,656,,,-5.6,,,,,,,,ASHEVILLE 8 SSW,US,999999-53877,2008,2,1
999999,53877,2008-01-01T18:40:00.0000000,35.495,-82.614,656,,,4.2,,,,,,,,ASHEVILLE 8 SSW,US,999999-53877,2008,1,1
999999,53877,2008-01-25T15:00:00.0000000,35.495,-82.614,656,,0.6,-7.9,,,,,1,0,,ASHEVILLE 8 SSW,US,999999-53877,2008,25,1
999999,53877,2008-01-12T02:30:00.0000000,35.495,-82.614,656,,,1.9,,,,,,,,ASHEVILLE 8 SSW,US,999999-53877,2008,12,1
999999,53877,2008-01-03T23:45:00.0000000,35.495,-82.614,656,,,-5.6,,,,,,,,ASHEVILLE 8 SSW,US,999999-53877,2008,3,1
